Year,Month,Province,District,Subscribers
2025,Abril,Gaza,Bilene-Macia,185242.0
2025,Abril,Gaza,Chibuto,158587.0
2025,Abril,Gaza,Chicualacuala,16827.0
2025,Abril,Gaza,Chigubo,9502.0
2025,Abril,Gaza,Chonguene,99567.0
2025,Abril,Gaza,Chókwè,169647.0
2025,Abril,Gaza,Cidade de Xai-Xai,192708.0
2025,Abril,Gaza,Guijá,53769.0
2025,Abril,Gaza,Limpopo,97073.0
2025,Abril,Gaza,Mabalane,18148.0
2025,Abril,Gaza,Manjacaze,109740.0
2025,Abril,Gaza,Mapai,22638.0
2025,Abril,Gaza,Massangena,8916.0
2025,Abril,Gaza,Massingir,14364.0
2025,Abril,Inhambane,Cidade de Inhambane,118482.0
2025,Abril,Inhambane,Cidade de Maxixe,156099.0
2025,Abril,Inhambane,Funhaloro,19309.0
2025,Abril,Inhambane,Govuro,36954.0
2025,Abril,Inhambane,Homoine,64943.0
2025,Abril,Inhambane,Inharrime,95271.0
2025,Abril,Inhambane,Inhassoro,59982.0
2025,Abril,Inhambane,Jangamo,76835.0
2025,Abril,Inhambane,Mabote,25379.0
2025,Abril,Inhambane,Massinga,180971.0
2025,Abril,Inhambane,Morrumbene,78652.0
2025,Abril,Inhambane,Panda,29387.0
2025,Abril,Inhambane,Vilankulo,145290.0
2025,Abril,Inhambane,Zavala (Quissico),115681.0
2025,Abril,Manica,Bárue,141155.0
2025,Abril,Manica,Cidade de Chimoio,613295.0
2025,Abril,Manica,Gondola,187758.0
2025,Abril,Manica,Guro,57786.0
2025,Abril,Manica,Macate,31370.0
2025,Abril,Manica,Machaze,38348.0
2025,Abril,Manica,Macossa,21145.0
2025,Abril,Manica,Manica,209371.0
2025,Abril,Manica,Mossurize,44971.0
2025,Abril,Manica,Sussundenga,107187.0
2025,Abril,Manica,Tambara,25192.0
2025,Abril,Manica,Vanduzi,111960.0
2025,Abril,Nampula,Ancuabe,93442.0
2025,Abril,Nampula,Angoche,380254.0
2025,Abril,Nampula,Balama,68994.0
2025,Abril,Nampula,Cabo-Delgado,1439203.0
2025,Abril,Nampula,Chiúre,119896.0
2025,Abril,Nampula,Cidade de Nacala-Porto,496145.0
2025,Abril,Nampula,Cidade de Nampula,1512684.0
